episode,step,episodic reward,success rate,episodic length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
0,30,-1,0.0,30
0,35,-1,0.0,35
0,40,-1,0.0,40
0,45,-1,0.0,45
0,50,-1,0.0,50
0,55,-1,0.0,55
0,60,-1,0.0,60
0,65,-1,0.0,65
0,70,-1,0.0,70
0,75,-1,0.0,75
0,80,-1,0.0,80
0,85,-1,0.0,85
0,90,-1,0.0,90
0,95,-1,0.0,95
0,100,-1,0.0,100
0,105,-1,0.0,105
0,110,-1,0.0,110
0,115,-1,0.0,115
0,120,-1,0.0,120
0,125,-1,0.0,125
0,130,-1,0.0,130
0,135,-1,0.0,135
0,140,-1,0.0,140
0,145,-1,0.0,145
0,150,-1,0.0,150
0,155,-1,0.0,155
0,160,-1,0.0,160
0,165,-1,0.0,165
0,170,-1,0.0,170
0,175,-1,0.0,175
0,180,-1,0.0,180
0,185,-1,0.0,185
0,190,-1,0.0,190
0,195,-1,0.0,195
1,200,1.963554590708066,0.05,2
1,205,1.963554590708066,0.05,7
1,210,1.963554590708066,0.05,12
1,215,1.963554590708066,0.05,17
1,220,1.963554590708066,0.05,22
1,225,1.963554590708066,0.05,27
1,230,1.963554590708066,0.05,32
1,235,1.963554590708066,0.05,37
1,240,1.963554590708066,0.05,42
1,245,1.963554590708066,0.05,47
1,250,1.963554590708066,0.05,52
1,255,1.963554590708066,0.05,57
1,260,1.963554590708066,0.05,62
1,265,1.963554590708066,0.05,67
1,270,1.963554590708066,0.05,72
1,275,1.963554590708066,0.05,77
1,280,1.963554590708066,0.05,82
1,285,1.963554590708066,0.05,87
1,290,1.963554590708066,0.05,92
1,295,1.963554590708066,0.05,97
1,300,1.963554590708066,0.05,102
1,305,1.963554590708066,0.05,107
1,310,1.963554590708066,0.05,112
1,315,1.963554590708066,0.05,117
1,320,1.963554590708066,0.05,122
1,325,1.963554590708066,0.05,127
1,330,1.963554590708066,0.05,132
1,335,1.963554590708066,0.05,137
1,340,1.963554590708066,0.05,142
1,345,1.963554590708066,0.05,147
1,350,1.963554590708066,0.05,152
