episode,step,episodic reward,success rate,episodic length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
0,30,-1,0.0,30
0,35,-1,0.0,35
0,40,-1,0.0,40
0,45,-1,0.0,45
0,50,-1,0.0,50
0,55,-1,0.0,55
0,60,-1,0.0,60
0,65,-1,0.0,65
0,70,-1,0.0,70
0,75,-1,0.0,75
0,80,-1,0.0,80
0,85,-1,0.0,85
0,90,-1,0.0,90
0,95,-1,0.0,95
0,100,-1,0.0,100
0,105,-1,0.0,105
0,110,-1,0.0,110
0,115,-1,0.0,115
0,120,-1,0.0,120
0,125,-1,0.0,125
0,130,-1,0.0,130
0,135,-1,0.0,135
0,140,-1,0.0,140
0,145,-1,0.0,145
0,150,-1,0.0,150
0,155,-1,0.0,155
0,160,-1,0.0,160
0,165,-1,0.0,165
0,170,-1,0.0,170
0,175,-1,0.0,175
0,180,-1,0.0,180
0,185,-1,0.0,185
1,190,1,0.05,5
1,195,1,0.05,10
1,200,1,0.05,15
1,205,1,0.05,20
1,210,1,0.05,25
1,215,1,0.05,30
1,220,1,0.05,35
1,225,1,0.05,40
1,230,1,0.05,45
1,235,1,0.05,50
1,240,1,0.05,55
1,245,1,0.05,60
1,250,1,0.05,65
1,255,1,0.05,70
1,260,1,0.05,75
1,265,1,0.05,80
1,270,1,0.05,85
1,275,1,0.05,90
1,280,1,0.05,95
1,285,1,0.05,100
1,290,1,0.05,105
1,295,1,0.05,110
1,300,1,0.05,115
1,305,1,0.05,120
1,310,1,0.05,125
1,315,1,0.05,130
1,320,1,0.05,135
1,325,1,0.05,140
1,330,1,0.05,145
1,335,1,0.05,150
1,340,1,0.05,155
1,345,1,0.05,160
1,350,1,0.05,165
1,355,1,0.05,170
1,360,1,0.05,175
1,365,1,0.05,180
1,370,1,0.05,185
1,375,1,0.05,190
1,380,1,0.05,195
1,385,1,0.05,200
1,390,1,0.05,205
2,395,1,0.1,2
2,400,1,0.1,7
2,405,1,0.1,12
2,410,1,0.1,17
2,415,1,0.1,22
2,420,1,0.1,27
2,425,1,0.1,32
